soil_type,ph_level,nitrogen,phosphorus,potassium,moisture_level,irrigation_type,soil_health_score,crop_1,crop_2,crop_3,disease_risk,weather_rainfall_mm,temperature_c,humidity_percent,profit_estimate,image_url
Silty,5.54,46,25,45,79,Sprinkler,69,Wheat,Rice,Wheat,Low,104,34,69,79420,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/52.jpg
Clay,5.89,53,23,26,72,Flood,65,Barley,Vegetables,Rice,Medium,108,28,90,63999,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/55.jpg
Loamy,5.84,30,38,38,44,Flood,78,Wheat,Rice,Sugarcane,Low,198,20,45,35096,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/62.jpg
Clay,6.71,22,24,27,76,Drip,77,Rice,Sugarcane,Wheat,Low,77,25,44,73136,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/262.jpg
Sandy,7.31,43,38,31,70,Flood,55,Millet,Soybean,Cotton,Medium,126,29,40,31903,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/94.jpg
Loamy,5.9,59,28,46,50,Drip,70,Groundnut,Sugarcane,Sugarcane,Medium,128,22,60,34987,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/285.jpg
Clay,6.18,58,26,29,78,Flood,80,Groundnut,Sugarcane,Rice,Low,192,21,52,68837,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/64.jpg
Loamy,7.33,29,31,21,36,Drip,75,Wheat,Rice,Millet,Low,186,27,60,63501,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/71.jpg
Loamy,6.16,42,34,50,31,Drip,59,Maize,Soybean,Wheat,Low,99,34,48,23779,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/96a.jpg
Loamy,6.15,32,28,27,60,Drip,79,Maize,Millet,Wheat,High,158,26,87,26591,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/35.jpg
Sandy,5.6,42,34,32,60,Sprinkler,70,Rice,Wheat,Sugarcane,Low,160,34,60,79264,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/48.jpg
Clay,6.73,38,16,47,39,Flood,89,Maize,Groundnut,Barley,Medium,57,31,84,28053,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/51.jpg
Silty,7.23,26,39,47,32,Drip,61,Sugarcane,Maize,Sugarcane,High,200,28,52,66655,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/5.jpg
Silty,7.07,53,40,39,50,Flood,80,Millet,Groundnut,Vegetables,High,190,34,56,43674,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/34.jpg
Clay,6.85,56,20,33,40,Drip,62,Rice,Groundnut,Maize,Low,169,32,66,42560,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/288b.jpg
Sandy,5.62,60,16,44,30,Drip,85,Millet,Millet,Cotton,Medium,104,27,77,67542,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/89.jpg
Silty,6.59,34,24,50,67,Flood,88,Groundnut,Millet,Sugarcane,Low,144,28,50,36597,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/59a.jpg
Sandy,6.39,55,23,25,51,Drip,86,Wheat,Maize,Maize,Medium,92,33,89,75815,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/270.jpg
Silty,7.31,60,26,21,70,Drip,80,Soybean,Millet,Wheat,Low,149,33,59,65031,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/65.jpg
Clay,7.12,40,25,41,42,Sprinkler,90,Soybean,Millet,Barley,Medium,88,29,72,27994,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/68.jpg
Silty,7.09,40,27,45,72,Sprinkler,89,Barley,Sugarcane,Groundnut,Medium,172,30,72,23876,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/53.jpg
Clay,5.98,49,27,34,75,Drip,80,Groundnut,Sugarcane,Vegetables,Medium,135,23,74,37661,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/59.jpg
Loamy,7.22,55,40,39,36,Drip,95,Soybean,Maize,Vegetables,High,95,35,83,79232,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/258.jpg
Clay,7.48,49,39,49,59,Sprinkler,50,Groundnut,Rice,Maize,High,60,21,82,72710,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/7.jpg
Sandy,7.29,30,24,32,41,Flood,76,Millet,Maize,Cotton,Medium,190,21,53,79760,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/79.jpg
Loamy,5.87,46,33,30,79,Sprinkler,61,Wheat,Soybean,Cotton,Low,194,24,90,39400,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/35a.jpg
Clay,7.18,26,37,31,41,Sprinkler,88,Cotton,Cotton,Vegetables,Medium,187,34,60,63735,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/99.jpg
Loamy,7.44,31,23,37,30,Drip,81,Soybean,Wheat,Rice,Medium,154,35,71,36757,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/66.jpg
Sandy,6.09,47,30,28,42,Drip,77,Rice,Rice,Barley,Low,146,22,78,79075,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/71a.jpg
Clay,6.36,30,19,28,49,Flood,83,Vegetables,Maize,Barley,Medium,87,35,75,36416,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/57.jpg
Sandy,5.6,56,39,49,38,Flood,83,Maize,Cotton,Soybean,Low,51,23,88,38445,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/279.jpg
Loamy,5.6,55,20,35,41,Flood,63,Soybean,Millet,Wheat,Medium,141,32,72,46664,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/4.jpg
Loamy,6.37,39,40,29,51,Sprinkler,83,Millet,Cotton,Maize,Medium,195,34,63,53305,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/70.jpg
Loamy,7.37,42,19,22,62,Drip,86,Millet,Millet,Maize,High,193,24,40,52755,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/95.jpg
Clay,5.8,46,28,35,39,Flood,54,Wheat,Millet,Wheat,Low,63,24,88,37242,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/3a.jpg
Silty,6.37,50,39,44,48,Drip,71,Maize,Maize,Groundnut,Low,180,27,84,61987,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/45.jpg
Loamy,6.97,57,17,47,55,Sprinkler,93,Soybean,Sugarcane,Vegetables,Medium,68,21,65,35218,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/96.jpg
Clay,7.19,28,20,44,48,Sprinkler,69,Maize,Maize,Barley,Low,144,26,45,31782,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/271.jpg
Sandy,6.11,58,24,45,52,Drip,56,Soybean,Vegetables,Barley,Medium,159,30,40,73420,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/84.jpg
Clay,6.07,26,23,29,38,Sprinkler,54,Vegetables,Sugarcane,Vegetables,Medium,148,31,77,70074,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/37.jpg
Sandy,7.35,36,25,38,75,Flood,64,Maize,Wheat,Barley,Low,197,20,51,21928,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/260.jpg
Clay,6.27,39,15,35,47,Flood,55,Vegetables,Vegetables,Barley,High,107,31,89,58928,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/73.jpg
Clay,6.79,37,32,23,64,Flood,94,Groundnut,Sugarcane,Vegetables,High,68,21,45,34209,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/28.jpg
Silty,6.66,44,30,43,73,Sprinkler,56,Wheat,Barley,Rice,Medium,119,21,83,22710,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/88.jpg
Clay,6.84,46,34,45,38,Drip,50,Sugarcane,Wheat,Rice,Low,90,33,77,23429,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/41.jpg
Silty,6.0,28,33,31,48,Drip,85,Wheat,Maize,Maize,Medium,178,24,61,25368,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/80.jpg
Silty,6.82,50,19,35,65,Drip,88,Soybean,Wheat,Soybean,High,134,32,41,25547,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/81.jpg
Sandy,6.1,58,19,42,35,Flood,72,Sugarcane,Sugarcane,Sugarcane,Medium,145,35,45,67716,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/31.jpg
Sandy,5.67,33,33,36,47,Flood,82,Maize,Groundnut,Groundnut,High,163,27,69,54226,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/29.jpg
Sandy,5.87,33,33,50,64,Sprinkler,59,Groundnut,Vegetables,Vegetables,Low,76,26,64,20411,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/49.jpg
Loamy,5.63,20,38,22,64,Flood,81,Wheat,Barley,Sugarcane,Medium,183,23,76,51746,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/76.jpg
Silty,7.3,34,24,36,48,Flood,58,Millet,Wheat,Barley,Medium,155,32,52,71096,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/75b.jpg
Sandy,6.7,22,28,34,30,Flood,76,Barley,Maize,Sugarcane,High,156,23,63,25436,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/30a.jpg
Loamy,7.29,27,15,30,59,Drip,61,Rice,Rice,Wheat,Low,79,26,60,27743,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/44.jpg
Loamy,6.63,46,37,22,35,Flood,69,Vegetables,Groundnut,Maize,Medium,162,21,77,50647,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/269.jpg
Clay,5.64,52,35,32,61,Flood,76,Groundnut,Groundnut,Cotton,Medium,112,26,57,66573,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/74.jpg
Silty,7.23,26,33,28,73,Flood,94,Wheat,Groundnut,Rice,Medium,110,32,61,72242,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/32a.jpg
Loamy,7.09,36,31,31,52,Sprinkler,93,Groundnut,Cotton,Maize,Low,60,26,80,62110,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/86.jpg
Silty,6.22,20,28,37,62,Flood,90,Wheat,Cotton,Vegetables,Medium,146,30,82,66140,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/83.jpg
Loamy,6.82,58,30,33,62,Drip,57,Soybean,Vegetables,Wheat,Medium,64,21,52,53016,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/92.jpg
Clay,7.03,21,31,30,69,Flood,61,Millet,Groundnut,Barley,Low,60,23,78,57039,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/291.jpg
Clay,6.29,56,38,46,79,Flood,70,Groundnut,Cotton,Sugarcane,High,192,33,53,50980,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/93.jpg
Sandy,6.63,55,20,34,57,Sprinkler,76,Soybean,Wheat,Barley,Low,198,33,77,66015,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/33.jpg
Loamy,5.98,48,38,21,54,Drip,87,Maize,Rice,Sugarcane,Low,81,27,78,77224,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/30b.jpg
Loamy,6.01,29,35,43,44,Drip,89,Cotton,Rice,Maize,High,176,26,74,36890,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/61.jpg
Silty,6.07,34,22,21,48,Sprinkler,75,Rice,Barley,Vegetables,High,59,31,52,60896,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/87.jpg
Silty,5.69,50,15,21,74,Sprinkler,85,Barley,Millet,Barley,Low,158,35,84,78145,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/27.jpg
Sandy,6.2,53,40,33,65,Sprinkler,62,Barley,Sugarcane,Vegetables,High,154,34,63,55474,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/43.jpg
Sandy,6.54,29,19,49,65,Sprinkler,86,Cotton,Barley,Barley,High,182,30,69,20048,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/92a.jpg
Loamy,7.32,47,20,32,58,Sprinkler,72,Cotton,Maize,Cotton,Medium,145,26,60,79568,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/46.jpg
Silty,7.18,31,18,45,31,Sprinkler,74,Groundnut,Cotton,Cotton,Low,128,32,90,34268,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/85.jpg
Clay,6.26,57,30,50,37,Flood,52,Groundnut,Vegetables,Cotton,Low,53,25,64,49150,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/63.jpg
Loamy,7.07,46,23,23,31,Drip,77,Vegetables,Rice,Rice,Medium,98,34,61,74778,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/47.jpg
Sandy,5.97,48,21,35,47,Drip,70,Rice,Barley,Wheat,High,162,27,81,23766,/content/drive/MyDrive/dataset/CyAUG-Dataset/Laterite_Soil/61b.jpg
Sandy,6.84,32,40,20,47,Sprinkler,56,Barley,Rice,Millet,High,123,24,83,37786,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/143.jpg
Loamy,7.04,33,20,45,78,Flood,81,Groundnut,Sugarcane,Wheat,Medium,91,34,50,62312,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/126.jpg
Silty,6.7,39,29,35,70,Drip,65,Groundnut,Soybean,Cotton,High,177,33,72,46584,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/113.jpg
Clay,7.42,36,35,31,33,Drip,57,Cotton,Groundnut,Maize,Medium,189,29,72,33274,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/138.jpg
Silty,6.09,59,15,42,80,Drip,73,Vegetables,Cotton,Rice,High,186,32,81,73359,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/137.jpg
Clay,7.33,60,33,24,38,Drip,50,Soybean,Maize,Cotton,Medium,115,23,61,38316,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/117.jpg
Sandy,7.11,28,31,22,43,Drip,73,Sugarcane,Maize,Soybean,Low,126,34,79,53924,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/114.jpg
Loamy,5.56,47,39,49,65,Drip,56,Cotton,Groundnut,Soybean,Low,171,25,81,70706,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/12.jpg
Clay,5.73,24,21,36,70,Drip,50,Rice,Maize,Millet,Low,80,35,70,50949,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/139.jpg
Loamy,6.67,40,39,29,38,Drip,94,Cotton,Vegetables,Cotton,Medium,177,31,53,51163,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/118.jpg
Loamy,6.42,37,40,40,59,Drip,63,Cotton,Cotton,Cotton,Low,194,25,41,69683,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/122.jpg
Loamy,5.67,37,18,40,62,Sprinkler,55,Wheat,Cotton,Soybean,Medium,183,20,84,60284,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/130.jpg
Sandy,5.66,32,25,45,49,Sprinkler,57,Maize,Maize,Soybean,Medium,153,22,85,61685,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/104.jpg
Sandy,7.33,33,39,31,69,Flood,95,Sugarcane,Wheat,Groundnut,High,124,35,82,58750,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/140a.jpg
Loamy,5.75,42,27,47,80,Sprinkler,59,Vegetables,Barley,Sugarcane,Low,166,27,61,27160,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/123.jpg
Loamy,6.85,23,37,30,47,Sprinkler,51,Rice,Sugarcane,Sugarcane,Low,73,25,80,67818,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/140.jpg
Clay,6.8,39,40,23,33,Drip,55,Wheat,Vegetables,Vegetables,Medium,121,29,64,55398,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/135.jpg
Sandy,5.83,52,21,31,65,Flood,94,Sugarcane,Maize,Wheat,Low,199,25,53,75293,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/142.jpg
Clay,6.31,59,31,37,63,Sprinkler,80,Maize,Millet,Groundnut,High,194,34,72,41592,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/136.jpg
Sandy,5.67,23,15,20,47,Drip,83,Barley,Groundnut,Sugarcane,High,133,33,43,47298,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/1.jpg
Silty,7.12,40,31,42,77,Flood,83,Millet,Vegetables,Wheat,Low,79,20,58,32346,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/121.jpg
Sandy,6.28,48,34,48,67,Drip,65,Barley,Barley,Wheat,Medium,163,30,89,48723,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/103.jpg
Loamy,7.31,58,15,22,39,Flood,65,Rice,Barley,Maize,High,192,29,44,39562,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/134.jpg
Loamy,5.54,50,19,50,58,Flood,77,Sugarcane,Millet,Wheat,High,144,32,89,51393,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/128.jpg
Clay,5.77,31,33,34,64,Flood,80,Wheat,Millet,Barley,High,98,21,41,70067,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/108.jpg
Silty,6.77,20,40,35,33,Flood,90,Wheat,Soybean,Vegetables,High,165,34,66,68681,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/124.jpg
Sandy,6.78,54,38,45,46,Flood,71,Barley,Cotton,Barley,Medium,134,30,81,71503,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/127.jpg
Silty,6.68,48,27,30,41,Sprinkler,73,Millet,Vegetables,Wheat,Medium,181,27,62,59798,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/135a.jpg
Clay,6.18,27,36,47,37,Sprinkler,86,Cotton,Wheat,Barley,High,151,24,90,66228,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/100.jpg
Loamy,7.23,44,20,46,77,Sprinkler,70,Sugarcane,Sugarcane,Rice,Medium,160,33,62,48717,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/13.jpg
Loamy,5.97,26,34,44,66,Sprinkler,51,Barley,Millet,Groundnut,Medium,133,26,42,61100,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/111.jpg
Sandy,7.29,45,38,37,44,Drip,51,Vegetables,Maize,Millet,Medium,130,27,68,64785,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/11.jpg
Silty,5.64,38,16,47,70,Flood,82,Barley,Cotton,Millet,High,195,31,64,71134,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/129.jpg
Sandy,6.77,50,38,20,71,Flood,94,Soybean,Groundnut,Rice,Low,185,28,63,65745,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/106.jpg
Sandy,7.15,59,35,43,51,Drip,78,Soybean,Cotton,Millet,Medium,107,32,58,59214,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/132.jpg
Silty,7.08,25,27,27,49,Drip,78,Soybean,Maize,Barley,Low,149,32,72,71259,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/109.jpg
Clay,5.99,55,17,25,55,Drip,62,Sugarcane,Cotton,Barley,High,83,21,41,79986,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/112.jpg
Sandy,6.36,55,30,39,66,Sprinkler,55,Rice,Sugarcane,Vegetables,Medium,193,31,51,48703,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/141.jpg
Clay,7.36,47,37,28,53,Sprinkler,84,Vegetables,Groundnut,Millet,Medium,181,24,52,52734,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/125.jpg
Silty,6.03,57,22,35,59,Drip,70,Soybean,Vegetables,Barley,Medium,89,34,47,46358,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/10.jpg
Clay,7.23,25,19,33,34,Flood,94,Cotton,Rice,Vegetables,High,98,28,84,54613,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/104a.jpg
Sandy,6.48,36,38,29,57,Flood,52,Vegetables,Vegetables,Cotton,Medium,87,30,65,25293,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/120.jpg
Sandy,6.77,34,34,48,76,Sprinkler,84,Soybean,Barley,Wheat,Medium,78,24,84,34699,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/101.jpg
Sandy,7.05,41,32,38,38,Sprinkler,71,Barley,Maize,Maize,Low,146,32,69,25873,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/107.jpg
Sandy,7.19,30,35,27,37,Flood,74,Vegetables,Vegetables,Cotton,Medium,93,23,79,39107,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/116.jpg
Clay,6.61,32,17,29,42,Sprinkler,92,Soybean,Sugarcane,Groundnut,High,191,25,64,51175,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/115.jpg
Loamy,5.57,30,26,30,57,Sprinkler,74,Millet,Sugarcane,Maize,Medium,152,20,43,57708,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/144.jpg
Clay,5.67,50,27,21,35,Drip,58,Sugarcane,Maize,Maize,High,150,24,72,54820,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/131.jpg
Silty,7.23,28,24,33,45,Drip,75,Rice,Vegetables,Rice,Medium,188,23,80,72873,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/133.jpg
Sandy,7.11,37,26,31,36,Sprinkler,57,Cotton,Rice,Wheat,High,117,22,75,57549,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/14.jpg
Loamy,7.39,27,17,33,37,Sprinkler,93,Soybean,Wheat,Millet,Low,126,28,58,38965,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/119.jpg
Loamy,6.56,26,30,25,62,Flood,50,Groundnut,Cotton,Rice,Medium,78,33,52,41945,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/169.jpg
Loamy,6.17,53,33,28,39,Sprinkler,68,Soybean,Cotton,Barley,Medium,149,31,87,48921,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/191.jpg
Silty,7.07,26,20,36,63,Sprinkler,66,Millet,Barley,Barley,Medium,182,22,90,39079,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/204.jpg
Silty,6.93,42,33,20,54,Sprinkler,64,Barley,Maize,Barley,High,75,32,41,60236,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/157.jpg
Clay,5.85,44,30,35,77,Flood,87,Maize,Maize,Groundnut,High,137,33,81,38283,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/165.jpg
Sandy,7.17,48,16,24,67,Sprinkler,88,Cotton,Groundnut,Vegetables,High,111,34,60,52107,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/172.jpg
Sandy,7.36,52,38,22,77,Sprinkler,51,Wheat,Rice,Millet,Medium,128,26,58,63571,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/190.jpg
Clay,6.34,35,35,20,79,Drip,64,Wheat,Groundnut,Maize,Low,78,29,74,46476,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/243b.jpg
Silty,7.3,35,39,21,31,Sprinkler,92,Millet,Vegetables,Sugarcane,Medium,176,20,59,77475,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/221.jpg
Clay,6.99,35,26,45,33,Sprinkler,92,Cotton,Millet,Sugarcane,High,73,22,73,61149,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/16b.jpg
Sandy,5.99,34,17,21,47,Flood,65,Barley,Rice,Wheat,Low,184,27,49,37607,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/21.jpg
Silty,6.33,32,29,29,65,Sprinkler,56,Wheat,Millet,Wheat,High,159,21,43,71147,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/181.jpg
Silty,6.15,36,40,27,42,Drip,85,Barley,Millet,Rice,High,182,33,58,48068,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/158.jpg
Clay,5.78,54,39,38,44,Sprinkler,66,Sugarcane,Sugarcane,Groundnut,High,182,32,60,66283,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/149.jpg
Silty,7.26,60,37,31,75,Drip,56,Cotton,Groundnut,Millet,Low,52,32,82,78736,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/168.jpg
Loamy,6.17,48,36,22,79,Drip,76,Cotton,Rice,Vegetables,Low,162,24,53,30745,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/183c.jpg
Loamy,6.14,24,35,24,35,Flood,85,Groundnut,Soybean,Soybean,Low,64,31,59,45613,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/160.jpg
Loamy,7.17,42,34,42,36,Drip,73,Maize,Rice,Millet,Medium,138,34,60,33712,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/192.jpg
Clay,5.86,55,24,45,32,Flood,60,Rice,Wheat,Vegetables,Low,154,27,70,61658,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/156.jpg
Clay,7.3,54,28,30,47,Drip,80,Maize,Groundnut,Rice,Medium,84,33,61,47993,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/196.jpg
Loamy,6.51,32,19,42,31,Sprinkler,67,Maize,Vegetables,Wheat,High,56,32,79,46796,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/213c.jpg
Clay,6.04,30,32,32,59,Drip,54,Wheat,Wheat,Soybean,Low,195,20,42,79082,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/220.jpg
Loamy,6.09,42,18,43,60,Flood,77,Barley,Vegetables,Maize,Medium,112,32,43,48345,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/208.jpg
Clay,7.08,29,37,46,34,Flood,95,Soybean,Sugarcane,Soybean,Low,166,33,43,75002,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/213a.jpg
Loamy,6.11,56,27,43,76,Sprinkler,75,Millet,Millet,Vegetables,Low,108,24,64,77562,/content/drive/MyDrive/dataset/CyAUG-Dataset/Arid_Soil/198a.jpg
